color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:name,name,sidc
"123,104,238,1",POINT (37.6289404 48.3155932),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a7""]",Бардак7,10016600006099000000
"123,104,238,1",POINT (37.6290242 48.3164936),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a8""]",Бардак8,10016600006099000000
"123,104,238,1",POINT (37.6291081 48.3173849),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a9""]",Бардак9,10016600006099000000
"123,104,238,1",POINT (37.6291919 48.3182852),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a10""]",Бардак10,10016600006099000000
"123,104,238,1",POINT (37.6292756 48.3191856),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a11""]",Бардак11,10016600006099000000
"123,104,238,1",POINT (37.6293596 48.3200769),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a12""]",Бардак12,10016600006099000000
"123,104,238,1",POINT (37.6294434 48.3209773),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a13""]",Бардак13,10016600006099000000
"123,104,238,1",POINT (37.6295271 48.3218776),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a14""]",Бардак14,10016600006099000000
"123,104,238,1",POINT (37.6296111 48.3227689),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a15""]",Бардак15,10016600006099000000
"123,104,238,1",POINT (37.6296949 48.3236693),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a16""]",Бардак16,10016600006099000000
"123,104,238,1",POINT (37.6297786 48.3245696),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a17""]",Бардак17,10016600006099000000
"123,104,238,1",POINT (37.6367472 48.309013),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-1""]",Бардак 1-1,10016600006099000000
"123,104,238,1",POINT (37.6368583 48.3099046),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-2""]",Бардак 1-2,10016600006099000000
"123,104,238,1",POINT (37.6369691 48.3108053),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-3""]",Бардак 1-3,10016600006099000000
"123,104,238,1",POINT (37.6370802 48.3116969),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-4""]",Бардак 1-4,10016600006099000000
"123,104,238,1",POINT (37.637191 48.3125976),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-5""]",Бардак 1-5,10016600006099000000
"123,104,238,1",POINT (37.6373021 48.3134893),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-6""]",Бардак 1-6,10016600006099000000
"123,104,238,1",POINT (37.6374129 48.3143899),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-7""]",Бардак 1-7,10016600006099000000
"123,104,238,1",POINT (37.637524 48.3152816),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-8""]",Бардак 1-8,10016600006099000000
"123,104,238,1",POINT (37.6376348 48.3161822),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-9""]",Бардак 1-9,10016600006099000000
"123,104,238,1",POINT (37.6377459 48.3170739),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-10""]",Бардак 1-10,10016600006099000000
"123,104,238,1",POINT (37.6378568 48.3179745),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-11""]",Бардак 1-11,10016600006099000000
"123,104,238,1",POINT (37.6379679 48.3188662),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-12""]",Бардак 1-12,10016600006099000000
"123,104,238,1",POINT (37.6380787 48.3197668),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-13""]",Бардак 1-13,10016600006099000000
"123,104,238,1",POINT (37.6381898 48.3206585),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-14""]",Бардак 1-14,10016600006099000000
"123,104,238,1",POINT (37.6383007 48.3215591),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-15""]",Бардак 1-15,10016600006099000000
"123,104,238,1",POINT (37.6384118 48.3224508),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a 1-16""]",Бардак 1-16,10016600006099000000
