color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:date,milgeo:meta:desc,milgeo:meta:icon,milgeo:meta:name,milgeo:meta:observation_datetime,name,observation_datetime,outline-color,sidc
"128,0,128,1",POINT (37.7334926 48.3573433),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04421""]",,авантюрист1,,,10016600006099000000
"128,0,128,1",POINT (37.7332817 48.3582313),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04422""]",,авантюрист2,,,10016600006099000000
"128,0,128,1",POINT (37.7330842 48.3591195),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04423""]",,авантюрист3,,,10016600006099000000
"128,0,128,1",POINT (37.7328733 48.3600075),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04424""]",,авантюрист4,,,10016600006099000000
"128,0,128,1",POINT (37.7326758 48.3608956),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04425""]",,авантюрист5,,,10016600006099000000
"128,0,128,1",POINT (37.7324648 48.3617836),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04426""]",,авантюрист6,,,10016600006099000000
"128,0,128,1",POINT (37.7323738 48.3621873),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04427""]",,авантюрист7,,,10016600006099000000
"128,0,128,1",POINT (37.7324325 48.3630873),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04428""]",,авантюрист8,,,10016600006099000000
"128,0,128,1",POINT (37.7325046 48.3639874),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u04429""]",,авантюрист9,,,10016600006099000000
"128,0,128,1",POINT (37.7325635 48.3648784),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u0442-2025-02-22T21.08.07.676133.csv"", ""\u0430\u0432\u0430\u043d\u0442\u044e\u0440\u0438\u0441\u044210""]",,авантюрист10,,,10016600006099000000
