color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:icon,milgeo:meta:name,milgeo:meta:observation_datetime,name,observation_datetime,outline-color,sidc
"128,0,128,1",POINT (37.3448036 48.4031733),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04353""]",,будущее3,,,10016600006099000000
"128,0,128,1",POINT (37.3461369 48.4032914),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04354""]",,будущее4,,,10016600006099000000
"128,0,128,1",POINT (37.347484 48.4034007),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04355""]",,будущее5,,,10016600006099000000
"128,0,128,1",POINT (37.3488173 48.4035188),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04356""]",,будущее6,,,10016600006099000000
"128,0,128,1",POINT (37.3501644 48.4036281),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04357""]",,будущее7,,,10016600006099000000
"128,0,128,1",POINT (37.3514978 48.4037461),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04358""]",,будущее8,,,10016600006099000000
"128,0,128,1",POINT (37.3528449 48.4038554),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04359""]",,будущее9,,,10016600006099000000
"128,0,128,1",POINT (37.3541783 48.4039734),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u043510""]",,будущее10,,,10016600006099000000
"128,0,128,1",POINT (37.3555119 48.4040824),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u043511""]",,будущее11,,,10016600006099000000
"128,0,128,1",POINT (37.3568588 48.4042006),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u043512""]",,будущее12,,,10016600006099000000
